,name,date,score,isin,parameter
6900,RWE ,2017-07-01,70.5,DE0007037129, ESG Score
6901,RWE ,2017-08-01,70.5,DE0007037129, ESG Score
6902,RWE ,2017-09-01,70.5,DE0007037129, ESG Score
6903,RWE ,2017-10-01,70.5,DE0007037129, ESG Score
6904,RWE ,2017-11-01,70.5,DE0007037129, ESG Score
6905,RWE ,2017-12-01,70.5,DE0007037129, ESG Score
6906,RWE ,2018-01-01,70.5,DE0007037129, ESG Score
6907,RWE ,2018-02-01,70.99,DE0007037129, ESG Score
6908,RWE ,2018-03-01,70.99,DE0007037129, ESG Score
6909,RWE ,2018-04-01,70.99,DE0007037129, ESG Score
6910,RWE ,2018-05-01,70.99,DE0007037129, ESG Score
6911,RWE ,2018-06-01,70.99,DE0007037129, ESG Score
6912,RWE ,2018-07-01,70.99,DE0007037129, ESG Score
6913,RWE ,2018-08-01,70.99,DE0007037129, ESG Score
6914,RWE ,2018-09-01,70.99,DE0007037129, ESG Score
6915,RWE ,2018-10-01,70.99,DE0007037129, ESG Score
6916,RWE ,2018-11-01,70.99,DE0007037129, ESG Score
6917,RWE ,2018-12-01,70.99,DE0007037129, ESG Score
6918,RWE ,2019-01-01,70.99,DE0007037129, ESG Score
6919,RWE ,2019-02-01,67.48,DE0007037129, ESG Score
6920,RWE ,2019-03-01,67.48,DE0007037129, ESG Score
6921,RWE ,2019-04-01,67.48,DE0007037129, ESG Score
6922,RWE ,2019-05-01,67.48,DE0007037129, ESG Score
6923,RWE ,2019-06-01,67.48,DE0007037129, ESG Score
6924,RWE ,2019-07-01,67.48,DE0007037129, ESG Score
6925,RWE ,2019-08-01,67.48,DE0007037129, ESG Score
6926,RWE ,2019-09-01,67.48,DE0007037129, ESG Score
6927,RWE ,2019-10-01,67.48,DE0007037129, ESG Score
6928,RWE ,2019-11-01,67.48,DE0007037129, ESG Score
6929,RWE ,2019-12-01,67.48,DE0007037129, ESG Score
6930,RWE ,2020-01-01,67.48,DE0007037129, ESG Score
6931,RWE ,2020-02-01,62.09,DE0007037129, ESG Score
6932,RWE ,2020-03-01,62.09,DE0007037129, ESG Score
6933,RWE ,2020-04-01,62.09,DE0007037129, ESG Score
6934,RWE ,2020-05-01,62.09,DE0007037129, ESG Score
6935,RWE ,2020-06-01,62.09,DE0007037129, ESG Score
6936,RWE ,2020-07-01,62.09,DE0007037129, ESG Score
6937,RWE ,2020-08-01,62.09,DE0007037129, ESG Score
6938,RWE ,2020-09-01,62.09,DE0007037129, ESG Score
6939,RWE ,2020-10-01,62.09,DE0007037129, ESG Score
# FILEPATH: /Users/seyyiduzun/Documents/Bachelorarbeit/Bachelorarbeit/ESGScore_cleaned_dax.csv
import pandas as pd

# read csv file
df = pd.read_csv('/Users/seyyiduzun/Documents/Bachelorarbeit/Bachelorarbeit/ESGScore_cleaned_dax.csv', header=None)

# extract relevant columns
df = df.iloc[:, [1, 2, 3, 5]]

# rename columns
df.columns = ['company', 'date', 'score', 'ISIN']

# extract year from date column
df['year'] = pd.DatetimeIndex(df['date']).year

# filter for years 2020, 2021, and 2022
df = df[df['year'].isin([2020, 2021, 2022])]

# group by company and year, and calculate mean score
df = df.groupby(['company', 'year']).mean().reset_index()

# pivot table to display scores by year for each company
df = df.pivot(index='company', columns='year', values='score').reset_index()

# sort by company name
df = df.sort_values(by='company')

# display table
print(df.to_string(index=False))
6940,RWE ,2020-11-01,62.09,DE0007037129, ESG Score
6941,RWE ,2020-12-01,62.09,DE0007037129, ESG Score
6942,RWE ,2021-01-01,62.09,DE0007037129, ESG Score
6943,RWE ,2021-02-01,69.16,DE0007037129, ESG Score
6944,RWE ,2021-03-01,69.16,DE0007037129, ESG Score
6945,RWE ,2021-04-01,69.16,DE0007037129, ESG Score
6946,RWE ,2021-05-01,69.16,DE0007037129, ESG Score
6947,RWE ,2021-06-01,69.16,DE0007037129, ESG Score
6948,RWE ,2021-07-01,69.16,DE0007037129, ESG Score
6949,RWE ,2021-08-01,69.16,DE0007037129, ESG Score
6950,RWE ,2021-09-01,69.16,DE0007037129, ESG Score
6951,RWE ,2021-10-01,69.16,DE0007037129, ESG Score
6952,RWE ,2021-11-01,69.16,DE0007037129, ESG Score
6953,RWE ,2021-12-01,69.16,DE0007037129, ESG Score
6954,RWE ,2022-01-01,69.16,DE0007037129, ESG Score
6955,RWE ,2022-02-01,,DE0007037129, ESG Score
6956,RWE ,2022-03-01,,DE0007037129, ESG Score
6957,RWE ,2022-04-01,,DE0007037129, ESG Score
6958,RWE ,2022-05-01,,DE0007037129, ESG Score
6959,RWE ,2022-06-01,,DE0007037129, ESG Score
6960,RWE ,2022-07-01,,DE0007037129, ESG Score
6961,RWE ,2022-08-01,,DE0007037129, ESG Score
6962,RWE ,2022-09-01,,DE0007037129, ESG Score
6963,RWE ,2022-10-01,,DE0007037129, ESG Score
6964,RWE ,2022-11-01,,DE0007037129, ESG Score
6965,RWE ,2022-12-01,,DE0007037129, ESG Score
6966,RWE ,2023-01-01,,DE0007037129, ESG Score
6967,RWE ,2023-02-01,,DE0007037129, ESG Score
6968,RWE ,2023-03-01,,DE0007037129, ESG Score
6969,RWE ,2023-04-01,,DE0007037129, ESG Score
